created_at,entry_id,field1,field2,field3,field4,field5,field6
2018-03-25 22:16:45 UTC,178,-0.01,2,26,"-222980.00

",0.051,
2018-03-25 22:36:55 UTC,179,-0.02,2,26,"-223245.00

",0.041,
2018-03-25 22:46:58 UTC,180,-0.01,2,26,"-222908.00

",0.051,
2018-03-25 22:57:00 UTC,181,-0.03,2,26,"-222970.00

",0.031,
2018-03-25 23:07:03 UTC,182,-0.02,2,26,"-223340.00

",0.041,
2018-03-25 23:17:05 UTC,183,-0.03,1,26,"-223228.00

",0.041,
2018-03-25 23:27:07 UTC,184,-0.03,1,27,"-223368.00

",0.041,
2018-03-25 23:47:16 UTC,185,-0.04,1,27,"-223627.00

",0.031,
2018-03-25 23:57:18 UTC,186,-0.04,1,27,"-223328.00

",0.031,
2018-03-26 00:07:24 UTC,187,-0.04,1,27,"-223408.00

",0.031,
2018-03-26 00:17:26 UTC,188,-0.04,1,27,"-223342.00

",0.031,
2018-03-26 00:47:45 UTC,189,-0.04,1,27,"-223442.00

",0.031,
2018-03-26 00:57:47 UTC,190,-0.03,1,27,"-223246.00

",0.041,
2018-03-26 01:07:51 UTC,191,-0.05,1,27,"-223745.00

",0.021,
2018-03-26 01:17:53 UTC,192,-0.03,1,27,"-223443.00

",0.041,
2018-03-26 01:38:03 UTC,193,-0.05,1,27,"-223712.00

",0.021,
2018-03-26 01:48:06 UTC,194,-0.06,1,27,"-223764.00

",0.011,
2018-03-26 02:08:15 UTC,195,-0.06,1,27,"-223789.00

",0.011,
2018-03-26 02:18:18 UTC,196,-0.07,1,27,"-223852.00

",0.001,
2018-03-26 02:38:26 UTC,197,-0.06,1,27,"-223830.00

",0.011,
2018-03-26 02:48:29 UTC,198,-0.04,1,27,"-223634.00

",0.031,
2018-03-26 03:08:37 UTC,199,-0.06,1,27,"-223729.00

",0.011,
2018-03-26 03:18:40 UTC,200,-0.06,1,27,"-224121.00

",0.011,
2018-03-26 03:38:49 UTC,201,-0.06,1,27,"-223851.00

",0.011,
